supermercado,categoria_padre,subcategoria,categoria_padre_anterior,categoria_anterior,nombre,imagen_url,precio
alcampo,Frescos,Frutas,,,Melón verde cortado,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/eab43906-a386-41bc-af48-ed1257303015/300x300.jpg,
alcampo,Frescos,Frutas,,,"Smoothie kiwi, manzana y lima  INNOCENT 250 ml.",https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/6d91d391-3c5d-4388-8561-07527f7d3b4c/300x300.jpg,
alcampo,Frescos,Frutas,,,ALCAMPO CULTIVAMOS LO BUENO ECOLÓGICO Compota de manzana ecológica Pack de 4 uds. x 100 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/9472232c-120b-4b5a-910b-d75ac739a818/300x300.jpg,
alcampo,Frescos,Frutas,,,Papayón maduro 1 pz.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/140624bf-b106-46f3-adb4-93fd1faebd70/300x300.jpg,
alcampo,Frescos,Frutas,,,ALCAMPO CULTIVAMOS LO BUENO Compota de macedonia 4x100 g,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/30b4f749-ce45-4d74-a660-6748ab79b403/300x300.jpg,
alcampo,Frescos,Frutas,,,Sandía ecológica,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/8bdec48a-3ebc-4fc7-8066-ec91856da4f5/300x300.jpg,
alcampo,Frescos,Frutas,,,Kiwi amarillo ecológico 300 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/6ba01fd0-0bb3-47ef-96c0-af5f84e2c86e/300x300.jpg,
alcampo,Frescos,Frutas,,,Melocotones ecológicos 600 gr,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/3c1ce820-144a-4e8b-91ec-8b25f0e8088c/300x300.jpg,
alcampo,Frescos,Frutas,,,Smoothie energía INNOCENT 300 ml.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/60ba4ff9-4456-42ed-80c8-5fb7f685ace3/300x300.jpg,
alcampo,Frescos,Frutas,,,Melón amarillo,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/25e4919c-8664-4a92-9a81-1d6664fc40c9/300x300.jpg,
alcampo,Frescos,Frutas,,,Nectarinas ecológicas 600 g.,https://www.compraonline.alcampo.es/images-v3/37ea0506-72ec-4543-93c8-a77bb916ec12/592bab8d-c48d-47d8-8e14-e904c9cf3a09/300x300.jpg,
